0,Data,NaN,2016.00,NaN,NaN
1,CountryName,CountryCode,Population growth,Total population,Area (sq. km)
2,Brazil,BRA,0.82,207652865,8358140.00
3,Switzerland,CHE,1.08,8372098,39516.00
4,Germany,DEU,1.19,82667685,348900.00
5,Denmark,DNK,0.83,?,42262.00
6,Spain,ESP,-0.01,46443959,500210.00
7,France,FRA,0.41,66896109,547557.00
8,Japan,JPN,-0.12,126994511,364560.00
9,Greece,GRC,-0.69,10746740,128900.00
10,Iran,IRN,1.15,80277428,1628760.00
11,Kuwait,KWT,2.92,4052584,?
12,Morocco,MAR,?,35276786,446300.00
13,Nigeria,NGA,2.62,185989640,910770.00
14,Qatar,QAT,3.50,2569804,11610.00
15,Sweden,SWE,?,9903122,407310.00
16,India,IND,1.15,1324171354,2973190.00
17,World,WLD,1.18,7442135578,129733173.00
